group,artifact,version,classification,license,source_pom,pom_chain,fetch_status
dev.failsafe,failsafe,3.3.2,parent-pom,"Apache License, Version 2.0 <http://apache.org/licenses/LICENSE-2.0>",https://repo.maven.apache.org/maven2/dev/failsafe/failsafe-parent/3.3.2/failsafe-parent-3.3.2.pom,https://repo.maven.apache.org/maven2/dev/failsafe/failsafe/3.3.2/failsafe-3.3.2.pom | https://repo.maven.apache.org/maven2/dev/failsafe/failsafe-parent/3.3.2/failsafe-parent-3.3.2.pom,ok | ok
io.netty.contrib,netty-codec-multipart-core,1.0.0.Final,parent-pom,"Apache License, Version 2.0 <https://www.apache.org/licenses/LICENSE-2.0>",https://repo.maven.apache.org/maven2/io/netty/contrib/netty-codec-multipart-parent/1.0.0.Final/netty-codec-multipart-parent-1.0.0.Final.pom,https://repo.maven.apache.org/maven2/io/netty/contrib/netty-codec-multipart-core/1.0.0.Final/netty-codec-multipart-core-1.0.0.Final.pom | https://repo.maven.apache.org/maven2/io/netty/contrib/netty-codec-multipart-parent/1.0.0.Final/netty-codec-multipart-parent-1.0.0.Final.pom,ok | ok
io.netty.contrib,netty-codec-multipart-vintage,1.0.0.Final,parent-pom,"Apache License, Version 2.0 <https://www.apache.org/licenses/LICENSE-2.0>",https://repo.maven.apache.org/maven2/io/netty/contrib/netty-codec-multipart-parent/1.0.0.Final/netty-codec-multipart-parent-1.0.0.Final.pom,https://repo.maven.apache.org/maven2/io/netty/contrib/netty-codec-multipart-vintage/1.0.0.Final/netty-codec-multipart-vintage-1.0.0.Final.pom | https://repo.maven.apache.org/maven2/io/netty/contrib/netty-codec-multipart-parent/1.0.0.Final/netty-codec-multipart-parent-1.0.0.Final.pom,ok | ok
io.netty,netty-buffer,4.2.18.Final,parent-pom,"Apache License, Version 2.0 <https://www.apache.org/licenses/LICENSE-2.0>",https://repo.maven.apache.org/maven2/io/netty/netty-parent/4.2.18.Final/netty-parent-4.2.18.Final.pom,https://repo.maven.apache.org/maven2/io/netty/netty-buffer/4.2.18.Final/netty-buffer-4.2.18.Final.pom | https://repo.maven.apache.org/maven2/io/netty/netty-parent/4.2.18.Final/netty-parent-4.2.18.Final.pom,ok | ok
io.netty,netty-codec-base,4.2.18.Final,parent-pom,"Apache License, Version 2.0 <https://www.apache.org/licenses/LICENSE-2.0>",https://repo.maven.apache.org/maven2/io/netty/netty-parent/4.2.18.Final/netty-parent-4.2.18.Final.pom,https://repo.maven.apache.org/maven2/io/netty/netty-codec-base/4.2.18.Final/netty-codec-base-4.2.18.Final.pom | https://repo.maven.apache.org/maven2/io/netty/netty-parent/4.2.18.Final/netty-parent-4.2.18.Final.pom,ok | ok
io.netty,netty-codec-compression,4.2.18.Final,parent-pom,"Apache License, Version 2.0 <https://www.apache.org/licenses/LICENSE-2.0>",https://repo.maven.apache.org/maven2/io/netty/netty-parent/4.2.18.Final/netty-parent-4.2.18.Final.pom,https://repo.maven.apache.org/maven2/io/netty/netty-codec-compression/4.2.18.Final/netty-codec-compression-4.2.18.Final.pom | https://repo.maven.apache.org/maven2/io/netty/netty-parent/4.2.18.Final/netty-parent-4.2.18.Final.pom,ok | ok
io.netty,netty-codec-http,4.2.18.Final,parent-pom,"Apache License, Version 2.0 <https://www.apache.org/licenses/LICENSE-2.0>",https://repo.maven.apache.org/maven2/io/netty/netty-parent/4.2.18.Final/netty-parent-4.2.18.Final.pom,https://repo.maven.apache.org/maven2/io/netty/netty-codec-http/4.2.18.Final/netty-codec-http-4.2.18.Final.pom | https://repo.maven.apache.org/maven2/io/netty/netty-parent/4.2.18.Final/netty-parent-4.2.18.Final.pom,ok | ok
io.netty,netty-codec-http2,4.2.18.Final,parent-pom,"Apache License, Version 2.0 <https://www.apache.org/licenses/LICENSE-2.0>",https://repo.maven.apache.org/maven2/io/netty/netty-parent/4.2.18.Final/netty-parent-4.2.18.Final.pom,https://repo.maven.apache.org/maven2/io/netty/netty-codec-http2/4.2.18.Final/netty-codec-http2-4.2.18.Final.pom | https://repo.maven.apache.org/maven2/io/netty/netty-parent/4.2.18.Final/netty-parent-4.2.18.Final.pom,ok | ok
io.netty,netty-codec-marshalling,4.2.18.Final,parent-pom,"Apache License, Version 2.0 <https://www.apache.org/licenses/LICENSE-2.0>",https://repo.maven.apache.org/maven2/io/netty/netty-parent/4.2.18.Final/netty-parent-4.2.18.Final.pom,https://repo.maven.apache.org/maven2/io/netty/netty-codec-marshalling/4.2.18.Final/netty-codec-marshalling-4.2.18.Final.pom | https://repo.maven.apache.org/maven2/io/netty/netty-parent/4.2.18.Final/netty-parent-4.2.18.Final.pom,ok | ok
io.netty,netty-codec-protobuf,4.2.18.Final,parent-pom,"Apache License, Version 2.0 <https://www.apache.org/licenses/LICENSE-2.0>",https://repo.maven.apache.org/maven2/io/netty/netty-parent/4.2.18.Final/netty-parent-4.2.18.Final.pom,https://repo.maven.apache.org/maven2/io/netty/netty-codec-protobuf/4.2.18.Final/netty-codec-protobuf-4.2.18.Final.pom | https://repo.maven.apache.org/maven2/io/netty/netty-parent/4.2.18.Final/netty-parent-4.2.18.Final.pom,ok | ok
